"","x"
"969","Pete Flint"
"970","Peter Arduini"
"971","Peter Barrett"
"972","Peter Cressy"
"973","Peter D. Hancock"
"974","Peter Hancock"
"975","Peter Hans"
"976","Peter Holt"
"977","Peter Loescher"
"978","Peter Newcomb"
"979","Peter Sands"
"980","Peter Schiff"
"981","Peter Voser"
"982","Peter Vosera"
"983","Pfizer Inc"
"984","Philip Balboni"
"985","Philip Clarke"
"986","Philippe Dauman"
"987","Philippe Laffont"
"988","Phupinder Gill"
"989","Pierre Beaudoin"
"990","Pierre Laubies"
"991","Piet Moerland"
"992","Plant"
"993","Pony Ma"
"994","Prem Watsa"
"995","Pritzker"
"996","Qingyong Wu"
"997","Qingyong Wua"
"998","Quits Juniper"
"999","Radha Agrawal"
"1000","Rainer Ohler"
"1001","Randall Stephenson"
"1002","Randy Garutti"
"1003","Ray Benton"
"1004","Ray Dalio"
"1005","Ray Irani"
"1006","Ray Stubblebine"
"1007","Read"
"1008","Rebekah Brooks"
"1009","Red Apple"
"1010","Reed Hasting"
"1011","Reed Hastings"
"1012","Reggie Agarwall"
"1013","Remo Ruffini"
"1014","Rex Tillerson"
"1015","Rex Tillersona"
"1016","Rex W. Tillerson"
"1017","Ricardo Salgado"
"1018","Riccardo Zacconi"
"1019","Ricci"
"1020","Rich  Kinder"
"1021","Rich Handler"
"1022","Rich Handlers"
"1023","Rich Kinder"
"1024","Richard  Fuld"
"1025","Richard  Handler"
"1026","Richard Anderson"
"1027","Richard Branson"
"1028","Richard Dugas"
"1029","Richard Fuld"
"1030","Richard Grasso"
"1031","Richard Handler"
"1032","Richard Handlera"
"1033","Richard Hayne"
"1034","Richard Kinder"
"1035","Richard LeFrak"
"1036","Richard Plepler"
"1037","Richard Weil"
"1038","Rick Alden"
"1039","Rick Dreiling"
"1040","Rick Lentini"
"1041","Rick Wagoner"
"1042","Rob Banagale"
"1043","Rob Flaherty"
"1044","Robbie Allen"
"1045","Robert Benmosche"
"1046","Robert D. Lawler"
"1047","Robert Greifeld"
"1048","Robert Griffin"
"1049","Robert Hanson"
"1050","Robert Iger"
"1051","Robert Lynch"
"1052","Robert Marcus"
"1053","Robert Niblock"
"1054","Robert Thomas"
"1055","Robert Thomson"
