"","finalPercentages"
"1167","15.9%"
"1168","15.90%"
"1169","15.91 percent"
"1170","15.96"
"1171","15.99"
"1172","15%"
"1173","150"
"1174","150 percent"
"1175","150.62"
"1176","150%"
"1177","1500%"
"1178","15000%"
"1179","151"
"1180","151%"
"1181","153"
"1182","153%"
"1183","155 percent"
"1184","156"
"1185","156%"
"1186","1565%"
"1187","159"
"1188","159%"
"1189","15900%"
"1190","16"
"1191","16 percent"
"1192","16.0 percent"
"1193","16.0%"
"1194","16.00%"
"1195","16.1"
"1196","16.1 percent"
"1197","16.1%"
"1198","16.10%"
"1199","16.19"
"1200","16.2"
"1201","16.2 percent"
"1202","16.2%"
"1203","16.23"
"1204","16.29"
"1205","16.3"
"1206","16.3 percent"
"1207","16.3%"
"1208","16.30%"
"1209","16.31 percent"
"1210","16.4"
"1211","16.4 percent"
"1212","16.4%"
"1213","16.40%"
"1214","16.46"
"1215","16.48"
"1216","16.5"
"1217","16.5 percent"
"1218","16.5%"
"1219","16.50%"
"1220","16.6"
"1221","16.6 percent"
"1222","16.6%"
"1223","16.60%"
"1224","16.7"
"1225","16.7 percent"
"1226","16.7%"
"1227","16.70%"
"1228","16.8"
"1229","16.8 percent"
"1230","16.8%"
"1231","16.80%"
"1232","16.81 percent"
"1233","16.84"
"1234","16.87 percent"
"1235","16.9"
"1236","16.9 percent"
"1237","16.9%"
"1238","16.90%"
"1239","16%"
"1240","160"
"1241","160%"
"1242","1600%"
"1243","161.8"
"1244","161%"
"1245","162"
"1246","162%"
"1247","163.4"
"1248","163.4 percent"
"1249","163.9 percent"
"1250","164%"
"1251","165"
"1252","165 percent"
"1253","165.4"
"1254","165.40%"
"1255","165%"
"1256","1654"
"1257","1654%"
"1258","166"
"1259","166%"
"1260","167%"
"1261","168%"
"1262","17"
"1263","17 percent"
"1264","17-18 percent"
"1265","17.0 percent"
"1266","17.00%"
"1267","17.01 percent"
"1268","17.1"
"1269","17.1 percent"
"1270","17.11"
"1271","17.2"
"1272","17.2 percent"
"1273","17.2%"
"1274","17.20%"
"1275","17.3"
"1276","17.3 percent"
"1277","17.3%"
"1278","17.30%"
"1279","17.4"
"1280","17.4 percent"
"1281","17.4%"
"1282","17.40%"
"1283","17.5"
"1284","17.5 percent"
"1285","17.5%"
"1286","17.50%"
"1287","17.6"
"1288","17.6 percent"
"1289","17.6%"
"1290","17.60%"
"1291","17.7"
"1292","17.7 percent"
"1293","17.7%"
"1294","17.70%"
"1295","17.74"
"1296","17.79 percent"
"1297","17.8"
"1298","17.8 percent"
"1299","17.80%"
"1300","17.82 percent"
"1301","17.9"
"1302","17.9 percent"
"1303","17.9%"
"1304","17.90%"
"1305","17%"
"1306","170"
"1307","170 percent"
"1308","170%"
"1309","172"
"1310","172%"
"1311","173"
"1312","173%"
"1313","175"
"1314","175 percent"
"1315","175%"
"1316","176"
